,count,mean,std,min,25%,50%,75%,max,99%,98%,95%,90%
1stSmys,125.0,1091.08,773.3428651618726,3.0,552.0,868.0,1474.0,3381.0,3255.360000000001,3094.3199999999997,2761.6,2183.000000000001
1베르단디1,123.0,528.8048780487804,425.0913240075612,10.0,289.5,421.0,680.5,3026.0,2062.5800000000004,1768.9600000000003,1141.6,954.9999999999999
1상산조자룡1,407.0,514.012285012285,473.43769763643456,7.0,199.5,415.0,688.5,3570.0,2268.2799999999997,1818.8400000000001,1263.7999999999995,999.8000000000002
20000key,143.0,1101.2167832167831,817.3001598345835,42.0,518.0,840.0,1420.0,3508.0,3484.28,3448.12,2980.9,2320.0
20190907,166.0,531.9036144578313,490.742149524768,3.0,203.5,409.5,684.5,3360.0,2031.6999999999998,1937.8,1643.25,1160.0
2019shim,429.0,510.42890442890445,587.5528353286783,1.0,124.0,316.0,678.0,3316.0,2926.399999999997,2385.4399999999996,1824.7999999999993,1213.0
2019년8월2일,960.0,614.6104166666667,510.53372294967596,4.0,302.0,500.0,822.25,3571.0,2586.2099999999973,2055.579999999999,1525.3499999999997,1196.1
20201231생성,114.0,851.078947368421,624.6610853801145,7.0,398.25,744.5,1145.5,3096.0,2798.4900000000007,2621.699999999999,2038.8499999999995,1704.2000000000003
205sernas205,106.0,1160.5,755.0544256636641,30.0,564.0,1039.0,1497.0,3362.0,3149.4500000000003,3005.099999999998,2687.0,2213.5
206543139,120.0,1292.0083333333334,875.5802349465934,23.0,540.75,1079.5,1800.5,3420.0,3280.69,3229.98,3076.15,2694.7000000000003
211048110,773.0,897.5187580853816,747.4221561508538,4.0,368.0,621.0,1193.0,3517.0,3150.12,2806.6799999999957,2527.3999999999996,2164.0000000000005
228322y,106.0,515.066037735849,403.6047163079933,17.0,245.0,395.5,682.25,2039.0,1560.65,1534.6,1443.5,1055.5
22tojesuper222,226.0,728.5884955752213,616.436536266985,16.0,333.25,539.5,969.5,3239.0,3177.5,2935.5,1907.25,1458.5
26438161_qq,683.0,797.2635431918009,780.4717767945004,2.0,218.0,518.0,1109.5,3575.0,3296.699999999997,2919.92,2533.9999999999995,2010.2000000000012
26699a,123.0,1407.4715447154472,898.6323061879333,305.0,674.0,1144.0,2003.5,3551.0,3548.56,3541.7200000000003,3389.0999999999995,2771.9999999999995
26vinnie,417.0,586.3860911270983,531.8275115275785,1.0,232.0,430.0,766.0,2903.0,2512.759999999999,2326.5600000000004,1628.5999999999995,1265.2
2915952905,927.0,650.462783171521,495.67744997381914,6.0,344.0,520.0,824.5,3375.0,2501.38,2111.96,1593.799999999999,1245.1999999999998
29KingJellyBelly29,452.0,879.9977876106195,718.3280368393724,6.0,384.0,661.0,1191.0,3584.0,3073.4000000000015,2832.040000000001,2534.75,1899.7
2EaZy,120.0,895.2416666666667,785.291007408417,6.0,317.0,715.0,1300.75,3466.0,3264.43,3151.420000000001,2360.499999999999,2070.1000000000004
2Smash,223.0,1139.0627802690583,761.7508611214446,153.0,597.0,900.0,1440.5,3597.0,3447.42,3134.3599999999997,2850.5999999999976,2358.0000000000005
2TwiZtiD,915.0,649.5584699453552,602.2840857405973,3.0,298.5,526.0,752.0,3576.0,3099.960000000002,2804.4800000000005,2103.6,1196.2000000000003
2YourGrace,149.0,845.48322147651,618.1189599931921,30.0,432.0,654.0,1122.0,3245.0,2719.0400000000045,2478.7599999999998,2156.4,1660.400000000001
2ez4wy,125.0,945.536,850.011494647136,26.0,360.0,607.0,1248.0,3426.0,3240.76,3238.56,3053.9999999999995,2212.800000000001
2kiddis,184.0,1425.9239130434783,886.8802906350129,311.0,689.75,1140.0,2108.25,3584.0,3546.4199999999996,3402.9000000000005,3062.7,2821.600000000001
2초뒤사살,497.0,658.5110663983903,500.61543613581193,4.0,348.0,526.0,805.0,3240.0,2530.36,2267.999999999999,1687.4,1298.4
300pecheney,107.0,1220.8598130841121,854.4613491219839,204.0,551.5,1001.0,1642.5,3480.0,3418.8399999999997,3368.4399999999996,2917.0999999999995,2602.4
30cmUnbuffed,129.0,1129.4573643410852,827.2100512391784,106.0,513.0,782.0,1531.0,3220.0,3164.96,3113.8399999999997,2860.2,2405.4
314zza,231.0,1186.2121212121212,823.3512922569157,63.0,540.5,916.0,1552.5,3546.0,3498.8999999999996,3406.0,3018.0,2537.0
325235v25,143.0,637.979020979021,449.31751796602305,25.0,310.5,587.0,863.0,2818.0,2066.440000000003,1787.1199999999994,1361.6,1127.9999999999998
3795217,442.0,786.9027149321267,636.6446212245172,8.0,364.75,610.5,967.0,3278.0,3062.0,3022.5200000000004,2164.2,1489.9
382991893,133.0,1047.8872180451128,695.7839120987089,30.0,524.0,838.0,1414.0,3537.0,3118.2000000000007,2907.239999999996,2303.999999999999,1984.8
39712,465.0,511.21290322580643,523.4478861246077,2.0,179.0,375.0,641.0,3309.0,2563.2000000000016,2322.879999999998,1557.3999999999987,1080.0
3AXAPOB,129.0,1244.2945736434108,808.7681644318411,302.0,590.0,986.0,1653.0,3507.0,3477.84,3394.7999999999997,2915.4,2513.2000000000003
3Dskipper,142.0,861.9577464788732,582.0748151230729,53.0,507.0,756.5,1095.25,3115.0,2745.7500000000005,2623.6200000000003,1970.2499999999986,1620.9
3ama3a,118.0,966.457627118644,708.4427806131334,2.0,474.75,790.0,1393.75,3173.0,3020.13,2821.579999999999,2355.6499999999987,2048.7
3box_x,155.0,320.78709677419357,364.5191813864662,2.0,74.5,212.0,466.5,2957.0,1537.200000000003,1254.639999999997,884.1999999999996,682.0
3onapogec,114.0,820.6140350877193,712.4346454581365,3.0,368.75,663.0,1017.25,3586.0,3327.2300000000023,2840.4799999999996,2318.1999999999994,1885.9
3onyot3,1297.0,606.3353893600616,530.6297701916112,2.0,299.0,458.0,759.0,3587.0,2671.6799999999957,2326.08,1612.0000000000005,1252.2000000000012
3rknsngl,256.0,1147.625,748.1968756322646,323.0,575.0,894.5,1499.25,3349.0,3181.0,3118.8,2791.25,2395.5
3secway,446.0,1147.6165919282512,745.5457354711015,78.0,575.25,952.5,1501.25,3599.0,3343.3500000000004,3155.5999999999985,2700.75,2334.5
406243,162.0,919.1543209876543,640.2221525443666,61.0,489.0,772.5,1235.25,3327.0,2933.9499999999935,2557.02,2189.349999999999,1921.8
423685366,258.0,1477.1705426356589,1071.8859202615533,13.0,536.75,1337.5,2484.0,3596.0,3538.7300000000005,3477.1999999999994,3360.5999999999995,2925.4
4281omer,276.0,736.8949275362319,629.1475096665574,2.0,350.25,507.5,958.0,3371.0,2687.0,2573.5,2220.75,1634.0
430351980,743.0,638.4656796769852,415.7630416949009,5.0,360.5,545.0,841.5,3473.0,2132.9000000000024,1634.3199999999993,1364.8000000000002,1155.6000000000001
454656023,259.0,1019.088803088803,719.2175360601748,38.0,509.5,820.0,1293.0,3250.0,3175.12,2891.1600000000003,2560.7999999999997,2219.8
4DeEp_siX4,131.0,801.5496183206106,600.6033788390889,12.0,424.0,719.0,1077.5,3488.0,3043.899999999998,2809.7999999999984,1824.5,1325.0
4Zanetti4,204.0,1002.8480392156863,811.7339474388809,1.0,427.0,680.5,1393.75,3340.0,3249.91,3175.36,2760.8500000000004,2311.0000000000005
4dmuvi,402.0,1047.597014925373,779.5164155972476,1.0,473.5,836.0,1471.0,3599.0,3222.330000000001,2962.2800000000007,2667.7,2189.0000000000005
4ebure4ek,121.0,759.4876033057851,565.1706249104849,21.0,409.0,611.0,999.0,3400.0,2711.1999999999985,2279.2,1803.0,1463.0
4ik-Nick,145.0,1255.0620689655173,814.5274466821038,336.0,614.0,986.0,1670.0,3537.0,3346.800000000001,3068.0800000000004,2895.399999999999,2619.6
4lin,427.0,1010.7658079625293,793.2355868208714,1.0,414.5,771.0,1439.0,3488.0,3355.2000000000007,3176.28,2723.4,2140.800000000001
4mpmax,170.0,757.6588235294117,587.467225381992,4.0,381.25,587.5,998.5,3292.0,2880.4900000000002,2529.4000000000005,1912.0499999999995,1537.6
4ofAAkind,117.0,1467.4615384615386,911.3102970776099,306.0,680.0,1240.0,2254.0,3586.0,3523.8,3416.679999999999,3152.6,2852.0000000000005
4zer0,376.0,306.31382978723406,383.00885618337026,3.0,71.0,205.0,395.75,3362.0,2222.75,1331.0,767.25,591.5
502928_fugiMI,103.0,1010.0194174757281,739.7587839578483,351.0,525.5,720.0,1260.5,3448.0,3239.380000000001,3061.92,2682.0999999999985,2122.5999999999995
532931891,109.0,915.4495412844037,923.7106277505051,13.0,328.0,574.0,1119.0,3522.0,3505.8,3454.76,3328.6,2272.0
555agasy555,135.0,1118.3777777777777,703.0849385712734,311.0,641.5,935.0,1403.0,3432.0,3018.94,2998.72,2845.8999999999996,2059.800000000001
576689484,615.0,412.48943089430895,571.6843159783807,3.0,108.0,200.0,473.5,3552.0,3059.16,2599.8,1665.4999999999943,901.2
58988333,133.0,399.36842105263156,410.7758083831022,9.0,144.0,314.0,479.0,3456.0,1504.1200000000024,1260.0,1109.9999999999998,859.0
5928533,204.0,795.9852941176471,604.1760213772989,4.0,426.75,573.5,934.5,3599.0,2882.85,2693.84,2153.95,1620.0
5amed1,150.0,786.8866666666667,611.454603413691,16.0,374.75,608.0,971.0,3209.0,2916.5499999999984,2392.5600000000045,2169.0,1657.1999999999996
5h4rkByt3,101.0,862.2376237623762,658.3886260942675,1.0,377.0,703.0,1169.0,3024.0,2593.0,2554.0,2135.0,1913.0
5noop,827.0,437.91777509068925,499.9015767640848,1.0,155.0,317.0,531.5,3574.0,2880.4000000000005,2387.76,1229.1999999999996,874.9999999999999
5talk3r69,486.0,653.312757201646,542.2830859248859,5.0,290.5,517.0,859.25,3283.0,2817.95,2403.8,1710.0,1341.5
5yn4s,108.0,1075.1851851851852,827.8574208830771,27.0,450.75,794.0,1565.5,3481.0,3450.579999999997,3039.12,2700.0999999999985,2344.3
603738013,168.0,542.7797619047619,480.9946085770427,4.0,255.75,411.0,696.25,3408.0,2154.1700000000055,1881.6999999999998,1417.3500000000001,1095.7000000000007
64RedStones,553.0,635.0144665461121,570.186312488962,1.0,247.0,532.0,800.0,3592.0,2839.2000000000003,2664.7200000000057,1789.7999999999997,1197.4000000000005
657391552,1333.0,609.411102775694,470.53308589479747,4.0,285.0,509.0,814.0,3029.0,2251.8000000000006,1945.5199999999993,1507.1999999999996,1222.0
666th,339.0,1248.3038348082596,832.6210907634199,161.0,588.0,976.0,1695.5,3589.0,3557.8,3506.1600000000003,3100.2999999999997,2531.399999999999
67exile67,1745.0,536.2126074498567,529.8992678002801,1.0,148.0,401.0,744.0,3587.0,2550.9199999999955,2099.24,1558.8,1182.4000000000005
6_din_49,364.0,568.978021978022,520.8600427069048,6.0,251.0,434.0,737.25,3374.0,3035.1099999999997,2179.92,1609.5999999999995,1070.9999999999998
6ixes,195.0,877.1282051282051,677.5193754404942,13.0,391.0,695.0,1103.0,3197.0,2810.2400000000007,2687.08,2189.1,2073.0
6kmmr,233.0,960.6995708154507,755.4261499140422,6.0,385.0,769.0,1405.0,3525.0,3138.4000000000005,3047.9599999999996,2509.3999999999996,1953.0
71M073J,109.0,483.08256880733944,401.993185137564,24.0,250.0,417.0,591.0,3359.0,1579.4000000000005,1326.68,1074.8,814.2
7331apuD,330.0,961.6393939393939,689.3985707302123,37.0,474.25,778.0,1245.5,3592.0,3219.1199999999985,3061.2200000000016,2466.4500000000003,1895.1999999999998
7623,400.0,842.875,623.76948088875,9.0,438.25,685.5,1078.75,3367.0,3047.249999999999,2664.6599999999994,2182.299999999998,1684.2
76y95h,144.0,955.7222222222222,704.8753442781574,44.0,479.75,763.0,1201.25,3337.0,3107.969999999998,2885.439999999999,2622.8,1959.5000000000039
777leNin,413.0,655.3535108958838,541.0243753535707,6.0,294.0,506.0,857.0,3199.0,2600.04,2368.079999999999,1748.7999999999995,1360.6
77sherhan77,284.0,653.0281690140845,511.6470244699293,13.0,327.5,505.5,814.25,3438.0,2704.620000000003,2068.9599999999978,1680.4499999999994,1247.9000000000005
77vova77,258.0,1155.077519379845,784.7297992179174,310.0,557.5,907.5,1497.0,3576.0,3506.1800000000003,3247.8999999999996,2908.499999999998,2432.000000000001
7983,263.0,1149.596958174905,764.0418369044527,9.0,603.0,922.0,1452.0,3546.0,3389.14,3330.0,2815.3999999999996,2253.2000000000003
7CATSS,313.0,1120.5463258785942,748.0597543540315,16.0,547.0,920.0,1475.0,3546.0,3229.2799999999997,3098.079999999999,2704.1999999999975,2275.4
7Egor4_ik,230.0,391.1304347826087,444.25980875192755,5.0,93.25,176.5,625.5,2745.0,2035.3700000000026,1737.56,1206.4999999999973,879.4
7Gs,155.0,1327.2516129032258,896.0280360985668,304.0,609.5,991.0,1981.0,3559.0,3409.82,3362.9599999999996,3146.6,2817.9999999999995
7KelevrA7,107.0,698.1588785046729,624.8799907353186,10.0,295.5,545.0,851.5,3432.0,2982.159999999999,2450.92,2003.999999999997,1366.6000000000004
